Arroz | Tio João | R$5,99 | Promoção: R$4,99
Vinho branco Santa Carolina | Santa Carolina | R$39,90 |
Vinho tinto Almaviva | Almaviva | R$499,00 |
Vinho rosé Mateus | Sogrape | R$34,90 | Promoção: R$29,90
Vinho tinto Miolo | Miolo | R$25,90 |
Cerveja Heineken | Heineken | R$3,50/unidade | Promoção: R$3,00/unidade
Cerveja Budweiser | Ambev | R$3,00/unidade | Promoção: R$2,50/unidade
Cerveja Stella Artois | Ambev | R$3,80/unidade |
Cerveja Skol | Ambev | R$2,50/unidade | Promoção: R$2,00/unidade
Cerveja Brahma | Ambev | R$2,50/unidade | Promoção: R$2,00/unidade
Cerveja Eisenbahn | Heineken | R$3,90/unidade |
Cerveja Bohemia | Ambev | R$3,20/unidade | Promoção: R$2,80/unidade
Cerveja Colorado | Ambev | R$4,50/unidade |
Cerveja Corona Extra | Grupo Modelo | R$4,50/unidade | Promoção: R$3,90/unidade
Cerveja Hoegaarden | AB InBev | R$6,90/unidade | Promoção: R$5,90/unidade
